indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,40 Años Agua y Energía Eléctrica (1947-1987),976479b6-114f-485e-b6e6-a1795b35ca89,OK,0,1
1,Actividad ambiental de petróleo y gas,d961b791-19b5-4ada-a64c-66cba740f532,OK,0,3
2,Anuarios de Combustibles 1950-1999,683a4dcc-7ade-4e54-8b34-99ef78a937b2,OK,0,37
3,Anuarios de Cooperativas Eléctricas,91cff942-0fd8-487b-a805-e525b1bfcb02,OK,0,18
4,Anuarios de Energía Eléctrica,e0c48587-cb50-4bb9-a541-8478a6ff2a6f,OK,0,52
5,Argentina Energy for growth,62b4fede-719e-4948-ba27-2ea9354db67f,OK,0,1
6,Inspecciones de abastecimiento en instalaciones de hidrocarburos,a20cc1db-1bd1-4706-9a6b-28d921af293b,OK,0,1
7,Autoridades nacionales desde 1944,875910da-b806-4f71-a5bf-112325581eea,OK,0,1
8,Balances Energéticos,ad6e372a-454e-44bf-9e41-a607942f4f61,OK,0,66
9,Balanza comercial minera,838eb9d7-bfff-4b3d-9a51-ce1d1a77aeb9,OK,0,1
10,Barrios Ciudad Autónoma de Buenos Aires,8e79a51f-474e-4d26-99eb-9e660edf76ec,OK,0,3
11,Boletín Mensual de Combustibles,206ada19-4934-40fa-9ab3-884b403b37c2,OK,0,1
12,Cálculo del Factor de Emisión de CO2 de la Red Argentina de Energía Eléctrica,7d47693a-c533-4e76-ae24-374c3205715a,OK,0,10
13,Cantidad de usuarios de gas natural de red por segmento de calle,d850c7a4-e2cb-4a2e-9b15-666dd9e27398,OK,0,2
14,Cantidad de usuarios  de redes de gas natural por provincia,bcffc058-227b-426a-8a23-71a89ee73a21,OK,0,1
15,Cantidad de usuarios de redes de gas natural por tipo,eba8a57c-d9a7-40bc-b97a-dddb8d2ede55,OK,0,1
16,Catálogo de Recursos Hídricos,f6504a35-7776-4cba-8eec-9630469e4053,OK,0,1
17,Centrales Eléctricas,b036f967-a78a-49c7-950c-7cb29625080d,OK,0,1
18,Central Nuclear Atucha,c5e0ffdd-29ba-4a62-b69e-efb0af059e94,OK,0,1
19,Central Nuclear Embalse,1baf09f3-11fe-416f-a4d8-178bd421db65,OK,0,1
20,Certificados de importación según régimen de inversiones mineras,022eb3e3-e2ff-47e9-a770-7d54f6bcbefa,OK,0,1
21,Comercialización Hidrocarburos Combustibles Líquidos,669615be-17f4-41ad-9aad-4c438cb974f9,OK,0,2
22,Comercialización de hidrocarburos - Combustibles líquidos - Aeroplantas,4adf2cf0-621c-49e6-8434-9d787765d9ea,OK,0,2
23,Comercialización de hidrocarburos - Terminales de despacho de  combustibles líquidos,99ba34a0-08f2-48e3-8d37-4d92542f740e,OK,0,2
24,Comercialización de hidrocarburos - Depósitos de GLP,315cbe4f-0de0-426a-90c7-8ca7533d4fac,OK,0,2
25,Comercialización de hidrocarburos - Plantas fraccionadoras de GLP,075c393d-5ad1-4cb0-a653-e953c313796d,OK,0,2
26,Compras de GLP,bada5328-3e7d-47b7-8fdc-85dbe2bc748e,OK,0,7
27,Conceptos sobre Energía,81be8f1b-bcfa-4650-a8c8-d95885e23335,OK,0,1
28,Conceptos sobre Hidrocarburos,88d29723-5f35-4949-8bd2-d15661ab2f5e,OK,0,1
